data,datatype
fmxgRnSH9LWm,password
ehalsopc@prnewswire.com,email
3535189045613352,card_number
7-(976)169-3345,phone
oMMy27oOiNmj,password
1-(414)125-9544,phone
5407622858640682,card_number
in congue,words
158.231.156.37,IPv4
201428294335260,card_number
196.93.55.254,IPv4
1MjaUS2LVrbxcRv98ShFNYZGvCZd5B4mUr,bitcoin_address
201684359823729,card_number
csilversmid53@slate.com,email
,blank
vb8JQl,password
RU,country_id
,blank
,blank
7-(604)172-7003,phone
564,cvv
7f2b:94bc:1d3e:987d:9f2c:36b7:25d9:9a99,IPv6
l7qb2zSkW,password
1-(605)898-8214,phone
http://miitbeian.gov.cn/vel.jpg,URL
,blank
US,country_id
7-(528)661-8084,phone
138.93.209.108,IPv4
https://miibeian.gov.cn/ante/ipsum/primis/in/faucibus.html,URL
f672:71c6:2153:58b5:9ee3:f9f5:12b3:f4de,IPv6
,blank
felis,words
9.65.124.33,IPv4
374622107951328,card_number
3559582676351006,card_number
https://yellowpages.com/leo/maecenas/pulvinar/lobortis/est/phasellus.aspx,URL
bb6c:c10:607f:98e6:2124:4dcd:d527:d53f,IPv6
nisl,words
ac est,words
755,cvv
fce7:d122:bf1b:83f3:3555:47b3:ec53:2705,IPv6
NcX0qFZ9oJj,password
26,cvv
1J2htk7ySAGAVbqrNyknUqRJfnPiNGgQ2s,bitcoin_address
7-(184)493-5369,phone
8a3a:54fc:824:a2d0:422a:fec9:26ec:ada9,IPv6
skingaby69,username
,blank
RU,country_id
59b5:2a55:705d:4334:c0bf:ac80:25c3:3973,IPv6
http://wikia.com/duis/ac/nibh/fusce/lacus/purus/aliquet.aspx,URL
AFTU8bHhiCh,password
ab1a:3495:1fc0:7a18:751a:c769:1836:c501,IPv6
eaimemy,username
,blank
27JkRWo9eJ,password
eemmerap@cdc.gov,email
3589854954306448,card_number
cebf:549d:1ecf:570e:1e4f:93ec:cdc4:de9e,IPv6
http://devhub.com/diam/id/ornare/imperdiet/sapien.jsp,URL
tnaseya3@ehow.com,email
856,cvv
US,country_id
11.72.224.144,IPv4
d0bc:2f11:bed7:a5f4:dcc:28d7:fde7:e177,IPv6
consequat,words
lpopley1f,username
,blank
rbradneckjb@bloglines.com,email
ante vel,words
37.10.4.150,IPv4
7-(879)240-4810,phone
,blank
lpetreczer@telegraph.co.uk,email
8215:aba8:5581:ad1b:ad06:f348:25e9:1ef5,IPv6
RU,country_id
5559548958141105,card_number
5602219396472695,card_number
RU,country_id
http://de.vu/ipsum/dolor/sit/amet/consectetuer/adipiscing/elit.html,URL
189,cvv
12eExs4PWk6DnjsTW9ispfotcUB4Su1pqu,bitcoin_address
http://psu.edu/convallis.jsp,URL
,blank
curae,words
TImCyIktc,password
286,cvv
http://prlog.org/non/lectus/aliquam/sit.js,URL
US,country_id
https://scientificamerican.com/tellus/nulla.aspx,URL
US,country_id
dbrunottiq3@google.com.br,email
clillicrap9u@meetup.com,email
894,cvv
204.184.94.18,IPv4
US,country_id
1-(434)326-1338,phone
1-(540)171-1581,phone
152,cvv
528,cvv
7-(683)829-5548,phone
https://umn.edu/mattis/odio/donec/vitae/nisi/nam.html,URL
672,cvv
nullam porttitor,words
3565807356888114,card_number
lduckeringc7,username
bpankethcb@wix.com,email
lhuyghe3d@nsw.gov.au,email
536,cvv
est lacinia,words
,blank
q8R0zxORONQ,password
donec,words
bpilcherct@statcounter.com,email
1Eza7UNHcEZmSM6J61jEYFuS6dTijiMGuP,bitcoin_address
https://yellowpages.com/ut/rhoncus/aliquet/pulvinar/sed.aspx,URL
iruckertpf,username
4107271190281,card_number
s5CF4mO,password
6386412852153038,card_number
tempor,words
hlarimerbk,username
7-(288)235-4301,phone
30139744387515,card_number
TwhWzqK,password
RU,country_id
Y6GO0E,password
cr92d4zp5Pk,password
1-(254)971-7259,phone
RU,country_id
18hcDk5F6mov9MMD4qNaK7erfQeFsRaKRX,bitcoin_address
RU,country_id
,blank
pBHaxsz,password
7-(960)971-8116,phone
,blank
amcconnelqe@forbes.com,email
7-(670)210-9774,phone
VsQa7X,password
15ky2vdarRXxb9iGH1qvst7Ux8e1GDD9CX,bitcoin_address
1K6BBkdyY943AYsr8zJ9eum9Grq5fpB5xh,bitcoin_address
205.185.148.192,IPv4
RU,country_id
https://google.com.au/donec.png,URL
234.167.28.216,IPv4
hdunkerley4f@lycos.com,email
hiuCQyJtpBWF,password
7-(144)757-6547,phone
RU,country_id
RU,country_id
15pFoG1pKGESzWidQNx2CFZxPAnCqYfMfW,bitcoin_address
aa2d:91b4:c031:42ef:f7a3:5231:ee60:dce4,IPv6
tortor id,words
mfundell3i@sitemeter.com,email
V2ppnMk,password
http://opera.com/amet/lobortis/sapien/sapien/non/mi/integer.html,URL
1-(913)960-8398,phone
177.60.165.234,IPv4
RU,country_id
7-(809)607-6921,phone
,blank
justo,words
e13a:e13f:2731:2d02:a685:b6d2:ac29:f38c,IPv6
LuDBg1,password
https://wiley.com/sociis/natoque/penatibus.jsp,URL
372301635560222,card_number
,blank
374622252251763,card_number
1DipnycKBJWhLpUQXXnawDLzy1miv4sK99,bitcoin_address
US,country_id
,blank
127.56.225.51,IPv4
ddaubney3o,username
3554078977153709,card_number
hdawltrey6s,username
8d9e:7801:34cd:b469:c21:d39a:52a2:82b1,IPv6
3535746039667759,card_number
o3cgiZL,password
18t4arANVzvMs6vXAM6jvdTtbrySsThxMA,bitcoin_address
hasipenko3m,username
7-(192)553-6524,phone
3528504912087648,card_number
915,cvv
12QjXzSW934TVx693Vj47sNPBQoNqt5wSn,bitcoin_address
http://loc.gov/dapibus/dolor/vel.jsp,URL
jcallinanl9@printfriendly.com,email
60,cvv
quisque,words
3574119480712304,card_number
3552054047780112,card_number
dlighthf,username
1F6W3r86F4sVNHyuRGriho45xtEr8z3K5h,bitcoin_address
117,cvv
RU,country_id
lslidesfv@homestead.com,email
1-(505)223-5584,phone
nbirk7j@zdnet.com,email
ultrices,words
Ng72LZofmM,password
veasleaoq,username
RU,country_id
40.179.80.59,IPv4
1-(913)650-9464,phone
,blank
fmildner8v,username
aa09:c962:b106:2b31:9240:bc34:f5ca:235d,IPv6
7-(819)218-9507,phone
,blank
5602222359568483,card_number
829,cvv
omcginng5@ycombinator.com,email
6763643076267074722,card_number
VgYH9p3,password
http://sourceforge.net/quisque/ut.png,URL
4d41:6104:4a35:99b9:b87f:ce2d:133d:61dc,IPv6
1QBTHy9U9oEdwWukeeBgcsrGZBsKTNsyWT,bitcoin_address
US,country_id
5325700019970385,card_number
http://loc.gov/dapibus/dolor/vel.jsp,URL
633311357512317351,card_number
http://bbb.org/tincidunt/eu/felis/fusce/posuere/felis/sed.png,URL
7-(469)331-4959,phone
posuere felis,words
nulla,words
tGrGozDG,password
https://cam.ac.uk/nunc/purus/phasellus/in/felis/donec.xml,URL
1FXBcrWxfCCVSRhkP8QFSgtW7pScBeW6vD,bitcoin_address
btoffel5g@constantcontact.com,email
19Sc3JHg1AriRfyb7QLCmcXYFpz1byjuie,bitcoin_address
1PhEP9WhGrbtqMHAwxo7gMYqiDPzAG3EjQ,bitcoin_address
plumpkin8o@seattletimes.com,email
1EaAX58xSpSMyxLKN9JzzQDFv6qAUAPPXX,bitcoin_address
ZVY6Srt43INa,password
US,country_id
nullam porttitor,words
ewalaron1w@com.com,email
semper porta,words
7-(652)389-3260,phone
https://buzzfeed.com/tortor/duis.xml,URL
416,cvv
120.180.71.97,IPv4
http://indiegogo.com/sagittis/dui/vel/nisl/duis.png,URL
13WEhHpJi5iL2ecosTgkZ2kL4Btz9LseW8,bitcoin_address
cras,words
241.25.198.50,IPv4
1HdcgAed1WrZfNvUPPTC8qJuAEtZGTo7aM,bitcoin_address
bkleslny@wisc.edu,email
489,cvv
28ce:aa59:b9cc:38c0:826b:7e84:4b11:d504,IPv6
1KHyyZcgyZ2z81AmADUuJDTbEyztSvAMU4,bitcoin_address
ut tellus,words
8686:569b:63a5:35d9:4f41:b4d7:746a:5922,IPv6
151.195.173.52,IPv4
cfolder24@ted.com,email
http://gmpg.org/lacus/at/velit.xml,URL
massa quis,words
52,cvv
1-(605)898-8214,phone
255.253.41.50,IPv4
,blank
http://vk.com/nullam/orci/pede/venenatis/non.js,URL
UiRWIV4j,password
13dVDf79KqaabfM4kJA4D2rC8tRxMrJ3fV,bitcoin_address
RU,country_id
wlabastida5v,username
13dVDf79KqaabfM4kJA4D2rC8tRxMrJ3fV,bitcoin_address
,blank
7ZizPznV3,password
bmarcumk6@businessinsider.com,email
625,cvv
RU,country_id
1MXzYdeYfHJrbtpAAmhyuDDyjmm1GAtynr,bitcoin_address
lorem,words
6759560058964860402,card_number
7-(897)844-7548,phone
https://cam.ac.uk/nunc/proin/at/turpis/a.html,URL
RU,country_id
6759975776942651,card_number
trosanderh5@typepad.com,email
augue vestibulum,words
xsc2Tsi,password
RU,country_id
5.63.205.43,IPv4
3578515170071024,card_number
e320:8d55:66c5:855f:4eb9:43de:85bf:ac99,IPv6
122.86.53.183,IPv4
ndidballdt,username
7-(887)473-1687,phone
15.221.222.70,IPv4
,blank
http://dedecms.com/amet/diam/in/magna/bibendum.aspx,URL
402:f6ea:dd69:ec03:e56c:a597:9278:cc67,IPv6
kmacdonaghmb,username
1-(573)230-0451,phone
,blank
lectus in,words
sit amet,words
https://shinystat.com/luctus/et/ultrices/posuere/cubilia/curae.js,URL
mnipperw@phpbb.com,email
cdbd:a3f9:35eb:23c9:a445:f1fe:f514:988,IPv6
3550101315309256,card_number
malesuada in,words
JLT2l0U,password
898,cvv
6a84:b35d:cb3a:abf1:95f6:277e:1173:510f,IPv6
e865:c26d:1473:64a:49ff:f1f4:5d91:a8f2,IPv6
12CNRmUAb2Db1PA8vek1fdumGxXdC9Cvro,bitcoin_address
https://un.org/rhoncus/mauris/enim/leo/rhoncus/sed/vestibulum.json,URL
1-(816)193-2179,phone
sconyer46,username
16FP6Y4MGFH3nnA2UqiwtRirjK4QeGkzE4,bitcoin_address
4da6:c720:875e:ee2f:9286:5f2f:f5c0:5fba,IPv6
0Fo2fLq,password
6BMsDpDk,password
,blank
OUNW9FaOe3A,password
quisque,words
3553116625107536,card_number
323,cvv
,blank
93f5:fe96:8aa:1a43:37ae:f552:a054:739e,IPv6
US,country_id
1Gz1XkEMfYErLKQHLgyGmMmvCEP5Z3MdbP,bitcoin_address
horteltp7@usatoday.com,email
https://bloomberg.com/consequat.js,URL
,blank
,blank
RU,country_id
RU,country_id
99.67.114.137,IPv4
,blank
1Lx9GRPiffzbVtsvtoH7zkWgyeHBYXTwLN,bitcoin_address
quis,words
https://washington.edu/luctus.jpg,URL
1-(412)312-1808,phone
BJcxezDAVnpH,password
670999371388732909,card_number
3f15:5dd5:5440:d15f:f68b:ff59:834c:96cf,IPv6
d08a:5eb4:4b6e:bfc8:ff6b:759f:1cce:6966,IPv6
fcvLUflm7ha,password
3571764967401930,card_number
3570177837064674,card_number
5100171514439568,card_number
1DkWxMX6qrG7BQPWpDxpgZDfKVdZP8eL7E,bitcoin_address
,blank
7-(513)686-0969,phone
mvwM2zeIA,password
201864598281869,card_number
3553105973114079,card_number
ffe2:e0cb:55b9:96fe:ba47:5ce8:719f:71aa,IPv6
dmalmar32@woothemes.com,email
RU,country_id
esalmon71,username
kshearston8h,username
bmaliad1,username
,blank
1-(202)355-7963,phone
atopazdz@clickbank.net,email
3c09:2046:f2bb:bc5b:2fb2:6858:87c1:4513,IPv6
http://moonfruit.com/varius/nulla/facilisi.jsp,URL
TOEd3aPXYw,password
,blank
TSvWyxIAaPr,password
RU,country_id
510,cvv
http://pinterest.com/imperdiet/et/commodo/vulputate.js,URL
RU,country_id
mburkine6,username
4017953706365049,card_number
c696:3ab1:50c5:c7f7:37bf:5c4f:6f46:5ab3,IPv6
1-(651)755-9716,phone
7-(115)833-2898,phone
5610820653509937,card_number
http://over-blog.com/imperdiet/et/commodo/vulputate/justo.png,URL
619,cvv
dholleran6e,username
US,country_id
61.135.194.78,IPv4
RU,country_id
1BfZYwruieZHzcCJDScynGF3HUghSiBDSf,bitcoin_address
b159:e832:9556:e859:159d:bbb8:2f89:dd96,IPv6
9d6e:e170:9ba3:bf1a:5b91:3283:53c9:ab1d,IPv6
1PGa2f1WKzu81pumNkQd5dnSuGdSVneoQ4,bitcoin_address
lpethickow@vinaora.com,email
332,cvv
1PhEP9WhGrbtqMHAwxo7gMYqiDPzAG3EjQ,bitcoin_address
60.15.8.107,IPv4
120,cvv
46.71.171.124,IPv4
,blank
7-(404)502-6209,phone
1MXuCTHKCNKJ3hCMsvCegDy2rcyPFJxhQn,bitcoin_address
88f7:16ca:9225:4e75:5448:3bc0:376:9410,IPv6
bkillockfe,username
atopazdz@clickbank.net,email
potenti nullam,words
jhardwarem0,username
a751:8c0e:6d53:7e0c:7864:845b:20e4:eb64,IPv6
7-(268)707-7202,phone
6.17.35.102,IPv4
144,cvv
3554684678061040,card_number
3eb7:46c8:afdf:adc5:4b9:3617:ea91:a2bb,IPv6
AKnXOCsZO6CN,password
144,cvv
16VFhKqEcvxHX16EbjQYqahcDDd361W1Mj,bitcoin_address
in,words
agartellrq@intel.com,email
RU,country_id
http://webs.com/dolor.aspx,URL
XLrAdTaNl,password
OGWfOrId,password
https://businessweek.com/hac/habitasse/platea/dictumst/aliquam/augue/quam.png,URL
246.13.29.18,IPv4
at velit,words
7-(240)246-2937,phone
tincidunt eget,words
5100147052509657,card_number
,blank
3558678610461587,card_number
,blank
http://last.fm/eget/congue/eget/semper.jsp,URL
7-(899)607-0460,phone
https://usda.gov/ipsum/integer/a/nibh/in/quis.png,URL
178,cvv
7-(548)532-0764,phone
shearns1x@cocolog-nifty.com,email
1831:71a6:dcb4:148d:bdec:2870:b7dc:6e41,IPv6
uaers4y@digg.com,email
1-(714)134-0123,phone
