username,first_name,last_name,full_name,email,password,address,city,region,zip,country_id,phone,card_number,exp_month,exp_year,cvv,shipping,payment,product_id,qty,address2
sfocke0,Sarita,Focke,Sarita Focke,sfocke0@xing.com,HbMgwP6y,60 Hanson Park,Yamkino,,601231,RU,,3584891921382503,3,2023,533,express,wire+transfer,115,24,
mmasserel1,Mella,Masserel,Mella Masserel,mmasserel1@simplemachines.org,bYfPAzt1xN,75 Sherman Parkway,Solnechnoye,,197738,RU,7-(619)675-3485,5142256998535161,5,2026,966,express,paypal,125,20,693 Dayton Avenue
fberfoot2,Francoise,Berfoot,Francoise Berfoot,fberfoot2@bandcamp.com,NnGILyr5Ac,2200 Logan Point,Malgobek,,386340,RU,,36527239529142,8,2019,785,mail,wire+transfer,28,11,
rjurgen3,Rockwell,Jurgen,Rockwell Jurgen,rjurgen3@msn.com,eWgscl,8630 Buhler Plaza,Strezhevoy,,636785,RU,,30080011968563,2,2020,752,express,wire+transfer,178,70,
lallsopp4,Lucas,Allsopp,Lucas Allsopp,lallsopp4@mit.edu,9J0B1adqho,1 Ryan Hill,Saginaw,Michigan,48604,US,,36503488141418,11,2020,971,mail,wire+transfer,99,86,
tstowte5,Torry,Stowte,Torry Stowte,tstowte5@yolasite.com,yh0B9n,350 Donald Plaza,Dauriya,,674660,RU,,50383474326805735,8,2024,527,collect,creditcard,159,70,
fmathe6,Filia,Mathe,Filia Mathe,fmathe6@nba.com,QwB8g0qqY9OS,45515 Forest Run Avenue,Kugesi,,429500,RU,7-(302)129-6048,4041373483916,7,2021,730,mail,creditcard,64,45,493 Namekagon Drive
mnewiss7,Marietta,Newiss,Marietta Newiss,mnewiss7@live.com,pJIyfvYFmmz,1636 Kipling Point,Samagaltay,,663716,RU,7-(179)880-5521,3586532413173764,10,2025,653,collect,creditcard,125,34,36130 Kipling Junction
lbutland8,Lowe,Butland,Lowe Butland,lbutland8@prnewswire.com,lN0bxcZkkLHX,7 Jana Circle,Dachnoye,,422156,RU,7-(355)652-1788,3574685386728719,11,2024,321,mail,paypal,55,67,3684 Becker Way
pbrandom9,Pace,Brandom,Pace Brandom,pbrandom9@etsy.com,XEWJdiJE,790 Sunfield Court,Ekazhevo,,386150,RU,,4936438964414414,12,2020,496,collect,wire+transfer,142,8,
lpocockea,Leilah,Pococke,Leilah Pococke,lpocockea@unc.edu,FIkELFz,4 Ridgeway Avenue,Rochester,New York,14609,US,,3549353497853569,8,2023,502,express,paypal,179,86,
