data,datatype
45.17.241.236,ipv4
Tarragon - Fresh,grocery_product
AC:67:81:DD:05:DA,mac_address
Compound - Orange,grocery_product
Muskox - French Rack,grocery_product
error: Illegal quoting in line 1.,script_js
SELECT * FROM *,script_sql
rhucquart6y@omniture.com,email
28,number
"Shrimp - 16/20, Iqf, Shell On",grocery_product
SELECT * FROM *,script_sql
mclarycott5u@blogs.com,email
DD:AF:52:E0:73:B7,mac_address
63,number
"Lid - 10,12,16 Oz",grocery_product
6C:59:A5:5A:FA:DC,mac_address
hashingtonh@craigslist.org,email
180.94.29.130,ipv4
C6:3F:96:87:EC:6C,mac_address
45.17.241.236,ipv4
error: Illegal quoting in line 1.,script_js
Mushroom Morel Fresh,grocery_product
87,number
SELECT * FROM *,script_sql
45,number
72:57:0B:1D:39:E6,mac_address
SELECT * FROM *,script_sql
error: Illegal quoting in line 1.,script_js
lmacandreisav@rambler.ru,email
error: Illegal quoting in line 1.,script_js
39.91.138.0,ipv4
error: Illegal quoting in line 1.,script_js
Ice Cream Bar - Hagen Daz,grocery_product
dneno8t@drupal.org,email
196.165.84.18,ipv4
39.91.138.0,ipv4
D5:1E:C8:86:11:F5,mac_address
"Oil - Shortening,liqud, Fry",grocery_product
46:63:13:73:9E:3B,mac_address
48,number
158.210.189.74,ipv4
6D:A8:FA:F4:6B:29,mac_address
error: Illegal quoting in line 1.,script_js
231.213.12.219,ipv4
"Chicken - Breast, 5 - 7 Oz",grocery_product
68:67:BD:7F:77:5C,mac_address
23.91.138.111,ipv4
E0:5E:8E:02:40:38,mac_address
SELECT * FROM *,script_sql
SELECT * FROM *,script_sql
53,number
Veal - Eye Of Round,grocery_product
240.86.237.151,ipv4
SELECT * FROM *,script_sql
Lid Tray - 16in Dome,grocery_product
error: Illegal quoting in line 1.,script_js
90:0C:93:25:2D:CC,mac_address
18,number
Cocoa Butter,grocery_product
27,number
14,number
dswannickbx@privacy.gov.au,email
C8:7D:24:00:82:98,mac_address
error: Illegal quoting in line 1.,script_js
ssedgmond1o@va.gov,email
31,number
SELECT * FROM *,script_sql
error: Illegal quoting in line 1.,script_js
SELECT * FROM *,script_sql
SELECT * FROM *,script_sql
Pur Value,grocery_product
Squeeze Bottle,grocery_product
error: Illegal quoting in line 1.,script_js
40,number
240.204.145.57,ipv4
188.116.82.66,ipv4
76,number
SELECT * FROM *,script_sql
Mudslide,grocery_product
SELECT * FROM *,script_sql
adanilovich9k@delicious.com,email
16,number
hvigursch@lulu.com,email
SELECT * FROM *,script_sql
28,number
04:D2:87:67:2B:EB,mac_address
Lettuce - Green Leaf,grocery_product
Lid Tray - 12in Dome,grocery_product
99,number
125.245.138.4,ipv4
error: Illegal quoting in line 1.,script_js
SELECT * FROM *,script_sql
error: Illegal quoting in line 1.,script_js
error: Illegal quoting in line 1.,script_js
rliebrecht8b@webnode.com,email
gcluet59@techcrunch.com,email
15:4D:9B:3F:AC:13,mac_address
3,number
error: Illegal quoting in line 1.,script_js
cearnshawb9@skyrock.com,email
93.188.46.67,ipv4
B2:C1:EF:D0:F0:DF,mac_address
D4:6F:65:87:B2:4D,mac_address
kabrahamssonc@mysql.com,email
SELECT * FROM *,script_sql
197.198.244.34,ipv4
Pork - Bacon Cooked Slcd,grocery_product
amithon4k@360.cn,email
SELECT * FROM *,script_sql
60,number
Scallops 60/80 Iqf,grocery_product
02:55:A0:09:C1:86,mac_address
Wine - Semi Dry Riesling Vineland,grocery_product
247.113.163.34,ipv4
12:DB:4B:86:31:56,mac_address
SELECT * FROM *,script_sql
5D:0F:66:A9:E4:1D,mac_address
44,number
21,number
error: Illegal quoting in line 1.,script_js
cdogerty43@arizona.edu,email
"Zucchini - Mini, Green",grocery_product
SELECT * FROM *,script_sql
76.67.201.245,ipv4
95,number
61,number
79,number
error: Illegal quoting in line 1.,script_js
Chocolate - Milk Coating,grocery_product
73,number
35:97:72:63:2F:A7,mac_address
E7:63:06:DD:4C:8D,mac_address
bmcadam71@sohu.com,email
F4:39:84:C6:4C:7E,mac_address
error: Illegal quoting in line 1.,script_js
SELECT * FROM *,script_sql
SELECT * FROM *,script_sql
SELECT * FROM *,script_sql
adorsay1m@aboutads.info,email
6C:5B:43:CC:08:D0,mac_address
79:99:92:DA:8D:0F,mac_address
154.254.33.11,ipv4
F5:E2:F5:D5:99:4C,mac_address
D7:EF:67:00:55:30,mac_address
"Water - Mineral, Natural",grocery_product
91,number
"Crab - Dungeness, Whole",grocery_product
Filo Dough,grocery_product
84.193.178.66,ipv4
123.58.175.183,ipv4
SELECT * FROM *,script_sql
43,number
45:34:23:6A:82:65,mac_address
213.130.227.62,ipv4
5,number
"Wine - White, Pinot Grigio",grocery_product
37,number
D6:BF:5E:73:86:D9,mac_address
SELECT * FROM *,script_sql
candreini92@photobucket.com,email
error: Illegal quoting in line 1.,script_js
240.86.237.151,ipv4
47.221.176.161,ipv4
5.62.70.37,ipv4
gansill4l@house.gov,email
Table Cloth 81x81 White,grocery_product
50.4.143.80,ipv4
email,email
27,number
52:58:22:A3:CD:29,mac_address
Cheese - Victor Et Berthold,grocery_product
error: Illegal quoting in line 1.,script_js
SELECT * FROM *,script_sql
4,number
error: Illegal quoting in line 1.,script_js
36,number
Wine - Pinot Noir Mondavi Coastal,grocery_product
108.1.213.143,ipv4
E9:91:E7:F6:59:60,mac_address
error: Illegal quoting in line 1.,script_js
Heavy Duty Dust Pan,grocery_product
lmaccrachen29@drupal.org,email
error: Illegal quoting in line 1.,script_js
SELECT * FROM *,script_sql
SELECT * FROM *,script_sql
46.3.142.21,ipv4
34.108.198.63,ipv4
BD:B5:D9:15:7C:6D,mac_address
error: Illegal quoting in line 1.,script_js
"Water - Mineral, Natural",grocery_product
B8:A2:81:8E:81:41,mac_address
ssedgmond1o@va.gov,email
50:FD:E4:A9:C8:CC,mac_address
112.45.108.79,ipv4
189.238.192.177,ipv4
B2:C1:EF:D0:F0:DF,mac_address
159.193.89.168,ipv4
Mushrooms - Honey,grocery_product
82,number
SELECT * FROM *,script_sql
246.5.216.47,ipv4
17:C4:EB:EF:11:8C,mac_address
SELECT * FROM *,script_sql
SELECT * FROM *,script_sql
80.150.165.127,ipv4
Relish,grocery_product
78.118.129.77,ipv4
27:CD:29:68:BC:5A,mac_address
SELECT * FROM *,script_sql
Drambuie,grocery_product
error: Illegal quoting in line 1.,script_js
150.234.184.214,ipv4
SELECT * FROM *,script_sql
43,number
SELECT * FROM *,script_sql
error: Illegal quoting in line 1.,script_js
28,number
SELECT * FROM *,script_sql
11,number
18,number
3,number
error: Illegal quoting in line 1.,script_js
scrossbybn@abc.net.au,email
4,number
schurchd9@wordpress.org,email
EA:4A:1E:FA:61:96,mac_address
mpadginton1z@amazon.co.uk,email
eborland9p@ovh.net,email
99,number
98,number
B7:A3:02:06:77:4B,mac_address
fbeechcraft2w@qq.com,email
SELECT * FROM *,script_sql
Pur Value,grocery_product
Pork - Kidney,grocery_product
rwittier3p@ucla.edu,email
97:CA:83:BE:B1:77,mac_address
180.94.29.130,ipv4
E4:38:AA:30:69:71,mac_address
SELECT * FROM *,script_sql
SELECT * FROM *,script_sql
34,number
68,number
error: Illegal quoting in line 1.,script_js
40,number
Bread Base - Toscano,grocery_product
Steamers White,grocery_product
Table Cloth 81x81 White,grocery_product
SELECT * FROM *,script_sql
cmilner61@hao123.com,email
error: Illegal quoting in line 1.,script_js
gcluet59@techcrunch.com,email
SELECT * FROM *,script_sql
error: Illegal quoting in line 1.,script_js
error: Illegal quoting in line 1.,script_js
118.164.247.113,ipv4
"Beef - Bones, Cut - Up",grocery_product
SELECT * FROM *,script_sql
ematzbw@wikispaces.com,email
sdaveran31@sogou.com,email
kcymper13@opensource.org,email
9,number
gblakeman7i@vinaora.com,email
"Veal - Brisket, Provimi,bnls",grocery_product
82,number
SELECT * FROM *,script_sql
SELECT * FROM *,script_sql
41,number
fliffe9j@infoseek.co.jp,email
26.21.142.182,ipv4
26,number
206.168.86.128,ipv4
error: Illegal quoting in line 1.,script_js
62:79:77:4F:82:6D,mac_address
26:00:79:B7:B2:92,mac_address
error: Illegal quoting in line 1.,script_js
error: Illegal quoting in line 1.,script_js
Crab Brie In Phyllo,grocery_product
56:D0:8B:C0:35:6A,mac_address
sfrazer6m@cloudflare.com,email
37,number
SELECT * FROM *,script_sql
Beef Ground Medium,grocery_product
37,number
55,number
odinneges6x@dailymail.co.uk,email
nspiers1p@virginia.edu,email
error: Illegal quoting in line 1.,script_js
error: Illegal quoting in line 1.,script_js
45,number
F3:DD:EF:5F:AD:02,mac_address
ssweynson9r@ocn.ne.jp,email
79,number
81,number
SELECT * FROM *,script_sql
15.112.119.103,ipv4
2A:AA:8E:CB:FD:39,mac_address
error: Illegal quoting in line 1.,script_js
error: Illegal quoting in line 1.,script_js
error: Illegal quoting in line 1.,script_js
Venison - Striploin,grocery_product
Lettuce - Boston Bib,grocery_product
BE:1E:C3:37:92:6A,mac_address
22.9.224.48,ipv4
Wine - Sake,grocery_product
85,number
gphythien7m@tripod.com,email
Red Currants,grocery_product
Cactus Pads,grocery_product
hebsworth2n@shareasale.com,email
error: Illegal quoting in line 1.,script_js
3B:17:8E:1C:1E:DE,mac_address
18,number
sschermick7p@intel.com,email
Lid Tray - 12in Dome,grocery_product
error: Illegal quoting in line 1.,script_js
error: Illegal quoting in line 1.,script_js
